work_year,experience_level,employment_type,job_title,salary,remote_ratio,company_size
2023,SE,FT,Data Engineer,131300,0,M
2023,SE,FT,Machine Learning Infrastructure Engineer,220000,100,M
2023,SE,FT,Machine Learning Infrastructure Engineer,150000,100,M
2023,MI,FT,Research Scientist,252990,100,M
2023,MI,FT,Research Scientist,162170,100,M
2023,SE,FT,Machine Learning Infrastructure Engineer,260000,100,M
2023,SE,FT,Machine Learning Infrastructure Engineer,235000,100,M
2023,MI,FT,Machine Learning Engineer,204500,0,M
2023,MI,FT,Machine Learning Engineer,142200,0,M
2023,SE,FT,Data Analytics Manager,190000,0,M
2023,SE,FT,Data Analytics Manager,145000,0,M
2023,SE,FT,Data Scientist,212800,100,M
2023,SE,FT,Data Scientist,111600,100,M
2023,SE,FT,Data Analyst,175000,100,M
2023,SE,FT,Data Analyst,130000,100,M
2023,SE,FT,Business Intelligence Analyst,194521,0,M
2023,SE,FT,Business Intelligence Analyst,176838,0,M
2023,EX,FT,Analytics Engineer,200000,0,M
2023,EX,FT,Analytics Engineer,170000,0,M
2023,SE,FT,Data Scientist,191765,0,M
2023,SE,FT,Data Scientist,134236,0,M
2023,SE,FT,Data Scientist,198800,0,M
2023,SE,FT,Data Scientist,90700,0,M
2023,MI,FT,BI Developer,154800,0,M
2023,MI,FT,BI Developer,76300,0,M
